id,project_id,production_sheet_id,video_type,element_name,description,generation_status,generation_model,model_parameters,prompt_used,custom_prompt,reference_image_url,reference_video_url,result_video_url,storage_video_url,thumbnail_url,duration_seconds,fps,resolution,request_id,metadata,tags,is_favorite,style_id,created_at,updated_at,completed_at,created_by,negative_prompt,aspect_ratio,person_generation,camera_movement,mode,prompt_optimizer,model_version,api_request,api_response,credits_used,video_url,linked_scene_id,linked_scene_number
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",,completed,wan v2.2-a14b,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/koala/FYi1OgkLGsE-1XDM_6wrz_output.mp4,,,,16,,743a1aff-9e8e-447a-9337-83e74fe2a4de,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,,,,wan v2.2-a14b,,,,,,
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth.",,completed,wan v2.2-a14b,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth.","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth.",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/panda/I9zys1zeX909WxMAAmaQB_output.mp4,,,,16,,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,,,,wan v2.2-a14b,,,,,,
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging.",,completed,wan v2.2-a14b,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging.","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging.",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/rabbit/7CMWNxEvwwkVfNM9cM3oH_output.mp4,,,,16,,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,,,,wan v2.2-a14b,,,,,,
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",,completed,hailou02-standard,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/tiger/mJijq0EdUGP7ocKjJOCcD_output.mp4,,,,,,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,,,TRUE,hailou02-standard,,,,,,
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Silence. Deep thinking character.",,completed,hailou02-standard,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Silence. Deep thinking character.","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Silence. Deep thinking character.",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/lion/kqgLL0cA5FQfu2anwme1I_output.mp4,,,6,,768p,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,,,TRUE,hailou02-standard,,,,,,
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Character natural wiggle. Only 2step action.",,completed,hailou02-standard,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Character natural wiggle. Only 2step action.","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Character natural wiggle. Only 2step action.",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/panda/If2WWTetArdP-8r4_LY7M_output.mp4,,,6,,768p,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,,,,wan v2.2-a14b-lora,,,,,,
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",,completed,wan v2.2-a14b-lora,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/tiger/X4qEyfQJyEXpf6bzoqIef_output.mp4,,,,16,,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,fixed,,,seedance-v1-pro,,,,,,
,,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",,completed,seedance-v1-pro,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/elephant/RJQMBEWCT-h6am3HA_3qS_video.mp4,,,5,,720p,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,fixed,,,seedance-v1-pro,,,,,,
,,,scene,Natural movement. No image distortion. No excessive movement. Keep the character in place and clench your fist.,,,seedance-v1-pro,,Natural movement. No image distortion. No excessive movement. Keep the character in place and clench your fist.,Natural movement. No image distortion. No excessive movement. Keep the character in place and clench your fist.,https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/lion/fc1lxwvll86ROfcnScIhX_video.mp4,,,5,,720p,,,,FALSE,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,,,,,,,,,,,,,,
